,,"Infant mortality rate (probability of dying between birth and age 1 per 1000 live births)"
"Country","Year","Both sexes"
"Australia","2017","3.0"
"Australia","2016","3.1"
"Australia","2015","3.2"
"Australia","2014","3.3"
"Australia","2013","3.5"
"Australia","2012","3.6"
"Australia","2011","3.8"
"Australia","2010","4.0"
"Australia","2009","4.2"
"Australia","2008","4.4"
"Australia","2007","4.5"
"Australia","2006","4.6"
"Australia","2005","4.8"
"Australia","2004","4.8"
"Australia","2003","4.9"
"Australia","2002","5.0"
"Australia","2001","5.0"
"Australia","2000","5.1"
"Australia","1999","5.2"
"Australia","1998","5.3"
"Australia","1997","5.4"
"Australia","1996","5.6"
"Australia","1995","5.8"
"Australia","1994","6.0"
"Australia","1993","6.3"
"Australia","1992","6.7"
"Australia","1991","7.1"
"Australia","1990","7.6"
"Austria","2017","2.9"
"Austria","2016","3.0"
"Austria","2015","3.0"
"Austria","2014","3.1"
"Austria","2013","3.2"
"Austria","2012","3.3"
"Austria","2011","3.5"
"Austria","2010","3.6"
"Austria","2009","3.7"
"Austria","2008","3.8"
"Austria","2007","3.8"
"Austria","2006","3.9"
"Austria","2005","4.1"
"Austria","2004","4.2"
"Austria","2003","4.3"
"Austria","2002","4.4"
"Austria","2001","4.5"
"Austria","2000","4.6"
"Austria","1999","4.7"
"Austria","1998","4.8"
"Austria","1997","5.0"
"Austria","1996","5.3"
"Austria","1995","5.7"
"Austria","1994","6.2"
"Austria","1993","6.7"
"Austria","1992","7.2"
"Austria","1991","7.6"
"Austria","1990","8.0"
"Belgium","2017","3.1"
"Belgium","2016","3.1"
"Belgium","2015","3.2"
"Belgium","2014","3.3"
"Belgium","2013","3.4"
"Belgium","2012","3.5"
"Belgium","2011","3.6"
"Belgium","2010","3.7"
"Belgium","2009","3.7"
"Belgium","2008","3.8"
"Belgium","2007","3.9"
"Belgium","2006","4.0"
"Belgium","2005","4.1"
"Belgium","2004","4.3"
"Belgium","2003","4.3"
"Belgium","2002","4.5"
"Belgium","2001","4.7"
"Belgium","2000","4.9"
"Belgium","1999","5.0"
"Belgium","1998","5.3"
"Belgium","1997","5.5"
"Belgium","1996","5.9"
"Belgium","1995","6.3"
"Belgium","1994","6.8"
"Belgium","1993","7.2"
"Belgium","1992","7.7"
"Belgium","1991","8.0"
"Belgium","1990","8.3"
"Canada","2017","4.5"
"Canada","2016","4.6"
"Canada","2015","4.7"
"Canada","2014","4.7"
"Canada","2013","4.8"
"Canada","2012","4.8"
"Canada","2011","4.8"
"Canada","2010","4.9"
"Canada","2009","5.0"
"Canada","2008","5.0"
"Canada","2007","5.1"
"Canada","2006","5.2"
"Canada","2005","5.2"
"Canada","2004","5.2"
"Canada","2003","5.2"
"Canada","2002","5.2"
"Canada","2001","5.2"
"Canada","2000","5.3"
"Canada","1999","5.3"
"Canada","1998","5.4"
"Canada","1997","5.5"
"Canada","1996","5.6"
"Canada","1995","5.8"
"Canada","1994","6.0"
"Canada","1993","6.2"
"Canada","1992","6.4"
"Canada","1991","6.6"
"Canada","1990","6.8"
"Finland","2017","1.9"
"Finland","2016","1.9"
"Finland","2015","2.0"
"Finland","2014","2.1"
"Finland","2013","2.2"
"Finland","2012","2.3"
"Finland","2011","2.4"
"Finland","2010","2.5"
"Finland","2009","2.6"
"Finland","2008","2.7"
"Finland","2007","2.8"
"Finland","2006","3.0"
"Finland","2005","3.1"
"Finland","2004","3.2"
"Finland","2003","3.3"
"Finland","2002","3.3"
"Finland","2001","3.4"
"Finland","2000","3.5"
"Finland","1999","3.6"
"Finland","1998","3.7"
"Finland","1997","3.9"
"Finland","1996","4.1"
"Finland","1995","4.3"
"Finland","1994","4.5"
"Finland","1993","4.7"
"Finland","1992","5.0"
"Finland","1991","5.3"
"Finland","1990","5.5"
"France","2017","3.5"
"France","2016","3.5"
"France","2015","3.5"
"France","2014","3.4"
"France","2013","3.4"
"France","2012","3.4"
"France","2011","3.5"
"France","2010","3.5"
"France","2009","3.5"
"France","2008","3.6"
"France","2007","3.6"
"France","2006","3.7"
"France","2005","3.8"
"France","2004","3.9"
"France","2003","4.0"
"France","2002","4.2"
"France","2001","4.3"
"France","2000","4.4"
"France","1999","4.5"
"France","1998","4.6"
"France","1997","4.8"
"France","1996","5.0"
"France","1995","5.4"
"France","1994","5.8"
"France","1993","6.2"
"France","1992","6.7"
"France","1991","7.1"
"France","1990","7.4"
"Japan","2017","1.9"
"Japan","2016","1.9"
"Japan","2015","2.1"
"Japan","2014","2.1"
"Japan","2013","2.1"
"Japan","2012","2.2"
"Japan","2011","2.4"
"Japan","2010","2.4"
"Japan","2009","2.4"
"Japan","2008","2.5"
"Japan","2007","2.6"
"Japan","2006","2.7"
"Japan","2005","2.8"
"Japan","2004","2.8"
"Japan","2003","2.9"
"Japan","2002","3.0"
"Japan","2001","3.1"
"Japan","2000","3.3"
"Japan","1999","3.4"
"Japan","1998","3.6"
"Japan","1997","3.8"
"Japan","1996","4.0"
"Japan","1995","4.1"
"Japan","1994","4.2"
"Japan","1993","4.4"
"Japan","1992","4.4"
"Japan","1991","4.5"
"Japan","1990","4.6"
"Netherlands","2017","3.3"
"Netherlands","2016","3.4"
"Netherlands","2015","3.4"
"Netherlands","2014","3.5"
"Netherlands","2013","3.5"
"Netherlands","2012","3.6"
"Netherlands","2011","3.6"
"Netherlands","2010","3.7"
"Netherlands","2009","3.8"
"Netherlands","2008","4.0"
"Netherlands","2007","4.1"
"Netherlands","2006","4.3"
"Netherlands","2005","4.4"
"Netherlands","2004","4.6"
"Netherlands","2003","4.8"
"Netherlands","2002","4.9"
"Netherlands","2001","5.0"
"Netherlands","2000","5.1"
"Netherlands","1999","5.2"
"Netherlands","1998","5.3"
"Netherlands","1997","5.4"
"Netherlands","1996","5.5"
"Netherlands","1995","5.7"
"Netherlands","1994","5.9"
"Netherlands","1993","6.1"
"Netherlands","1992","6.3"
"Netherlands","1991","6.6"
"Netherlands","1990","6.8"
"New Zealand","2017","4.4"
"New Zealand","2016","4.5"
"New Zealand","2015","4.6"
"New Zealand","2014","4.7"
"New Zealand","2013","4.9"
"New Zealand","2012","5.0"
"New Zealand","2011","5.0"
"New Zealand","2010","5.1"
"New Zealand","2009","5.2"
"New Zealand","2008","5.3"
"New Zealand","2007","5.3"
"New Zealand","2006","5.4"
"New Zealand","2005","5.4"
"New Zealand","2004","5.5"
"New Zealand","2003","5.7"
"New Zealand","2002","5.8"
"New Zealand","2001","5.9"
"New Zealand","2000","6.1"
"New Zealand","1999","6.2"
"New Zealand","1998","6.4"
"New Zealand","1997","6.7"
"New Zealand","1996","6.9"
"New Zealand","1995","7.1"
"New Zealand","1994","7.5"
"New Zealand","1993","7.8"
"New Zealand","1992","8.2"
"New Zealand","1991","8.7"
"New Zealand","1990","9.2"
"Norway","2017","2.1"
"Norway","2016","2.1"
"Norway","2015","2.2"
"Norway","2014","2.3"
"Norway","2013","2.3"
"Norway","2012","2.4"
"Norway","2011","2.5"
"Norway","2010","2.6"
"Norway","2009","2.7"
"Norway","2008","2.8"
"Norway","2007","3.0"
"Norway","2006","3.2"
"Norway","2005","3.2"
"Norway","2004","3.4"
"Norway","2003","3.6"
"Norway","2002","3.6"
"Norway","2001","3.8"
"Norway","2000","4.0"
"Norway","1999","4.0"
"Norway","1998","4.1"
"Norway","1997","4.2"
"Norway","1996","4.4"
"Norway","1995","4.6"
"Norway","1994","4.9"
"Norway","1993","5.3"
"Norway","1992","5.8"
"Norway","1991","6.4"
"Norway","1990","7.0"
"Sweden","2017","2.3"
"Sweden","2016","2.4"
"Sweden","2015","2.4"
"Sweden","2014","2.4"
"Sweden","2013","2.4"
"Sweden","2012","2.5"
"Sweden","2011","2.5"
"Sweden","2010","2.5"
"Sweden","2009","2.6"
"Sweden","2008","2.6"
"Sweden","2007","2.7"
"Sweden","2006","2.8"
"Sweden","2005","3.0"
"Sweden","2004","3.1"
"Sweden","2003","3.2"
"Sweden","2002","3.3"
"Sweden","2001","3.4"
"Sweden","2000","3.4"
"Sweden","1999","3.4"
"Sweden","1998","3.5"
"Sweden","1997","3.6"
"Sweden","1996","3.8"
"Sweden","1995","4.0"
"Sweden","1994","4.4"
"Sweden","1993","4.8"
"Sweden","1992","5.2"
"Sweden","1991","5.5"
"Sweden","1990","5.9"
"Switzerland","2017","3.7"
"Switzerland","2016","3.8"
"Switzerland","2015","3.8"
"Switzerland","2014","3.8"
"Switzerland","2013","3.8"
"Switzerland","2012","3.9"
"Switzerland","2011","3.9"
"Switzerland","2010","3.9"
"Switzerland","2009","4.0"
"Switzerland","2008","4.0"
"Switzerland","2007","4.1"
"Switzerland","2006","4.2"
"Switzerland","2005","4.3"
"Switzerland","2004","4.4"
"Switzerland","2003","4.5"
"Switzerland","2002","4.6"
"Switzerland","2001","4.6"
"Switzerland","2000","4.7"
"Switzerland","1999","4.7"
"Switzerland","1998","4.8"
"Switzerland","1997","4.9"
"Switzerland","1996","5.0"
"Switzerland","1995","5.2"
"Switzerland","1994","5.5"
"Switzerland","1993","5.8"
"Switzerland","1992","6.1"
"Switzerland","1991","6.4"
"Switzerland","1990","6.6"
"United Kingdom of Great Britain and Northern Ireland","2017","3.7"
"United Kingdom of Great Britain and Northern Ireland","2016","3.7"
"United Kingdom of Great Britain and Northern Ireland","2015","3.8"
"United Kingdom of Great Britain and Northern Ireland","2014","3.8"
"United Kingdom of Great Britain and Northern Ireland","2013","3.9"
"United Kingdom of Great Britain and Northern Ireland","2012","4.1"
"United Kingdom of Great Britain and Northern Ireland","2011","4.2"
"United Kingdom of Great Britain and Northern Ireland","2010","4.4"
"United Kingdom of Great Britain and Northern Ireland","2009","4.6"
"United Kingdom of Great Britain and Northern Ireland","2008","4.8"
"United Kingdom of Great Britain and Northern Ireland","2007","4.9"
"United Kingdom of Great Britain and Northern Ireland","2006","5.0"
"United Kingdom of Great Britain and Northern Ireland","2005","5.1"
"United Kingdom of Great Britain and Northern Ireland","2004","5.3"
"United Kingdom of Great Britain and Northern Ireland","2003","5.3"
"United Kingdom of Great Britain and Northern Ireland","2002","5.3"
"United Kingdom of Great Britain and Northern Ireland","2001","5.4"
"United Kingdom of Great Britain and Northern Ireland","2000","5.5"
"United Kingdom of Great Britain and Northern Ireland","1999","5.7"
"United Kingdom of Great Britain and Northern Ireland","1998","5.8"
"United Kingdom of Great Britain and Northern Ireland","1997","5.9"
"United Kingdom of Great Britain and Northern Ireland","1996","5.9"
"United Kingdom of Great Britain and Northern Ireland","1995","6.1"
"United Kingdom of Great Britain and Northern Ireland","1994","6.3"
"United Kingdom of Great Britain and Northern Ireland","1993","6.5"
"United Kingdom of Great Britain and Northern Ireland","1992","7.0"
"United Kingdom of Great Britain and Northern Ireland","1991","7.4"
"United Kingdom of Great Britain and Northern Ireland","1990","7.9"
"United States of America","2017","5.7"
"United States of America","2016","5.7"
"United States of America","2015","5.8"
"United States of America","2014","5.9"
"United States of America","2013","6.0"
"United States of America","2012","6.1"
"United States of America","2011","6.1"
"United States of America","2010","6.2"
"United States of America","2009","6.4"
"United States of America","2008","6.5"
"United States of America","2007","6.5"
"United States of America","2006","6.7"
"United States of America","2005","6.8"
"United States of America","2004","6.9"
"United States of America","2003","6.8"
"United States of America","2002","6.9"
"United States of America","2001","7.0"
"United States of America","2000","7.1"
"United States of America","1999","7.2"
"United States of America","1998","7.3"
"United States of America","1997","7.5"
"United States of America","1996","7.7"
"United States of America","1995","8.0"
"United States of America","1994","8.2"
"United States of America","1993","8.5"
"United States of America","1992","8.8"
"United States of America","1991","9.1"
"United States of America","1990","9.4"
